ticker,cnpj,company_name,sector,industry,market_cap,revenue,operating_income,net_income,equity,total_cash,total_debt,roe,operating_margin,profit_margin,debt_to_equity,revenue_growth,earnings_growth,earnings_yield,book_to_price,sales_yield,ev_to_ebit,raw_pe,raw_pb,raw_ev_ebitda,enterprise_value,ebitda,fcf,beta,trailing_eps,book_value_per_share,fundamental_source
CSMG3,,Companhia de Saneamento de Minas Gerais,Utilities,Utilities - Regulated Water,21162117120.0,8357331968.0,2889449984.0,1293036032.0,8853507209.07,1384306048.0,9370937344.0,0.1497,0.20989999,0.15472001,1.0584435210489147,-0.017,-0.212,0.061100157210704505,0.41836592961746294,0.39491946484416773,10.087983305268384,16.36657,2.390252,10.088,29148723200.0,2889449984.0,-769804736.0,0.274,3.41,23.349,Yahoo Finance
CSNA3,,Companhia Siderúrgica Nacional,Basic Materials,Steel,5954161664.0,45106970624.0,6642831872.0,-2626882048.0,12876372225.37,14285754368.0,53365559296.0,-0.12294,0.05544,-0.05824,4.1444560907345585,0.057,,-0.44118419959649924,2.162583690637213,7.5757047204017605,7.242093800804838,,0.46240985,7.242,48108011520.0,6642831872.0,-3359594496.0,,-1.51,9.71,Yahoo Finance
CURY3,,Cury Construtora e Incorporadora S.A.,Real Estate,Real Estate - Development,9780510720.0,5795810816.0,1463632000.0,1064928000.0,1381593459.0900002,1646616960.0,1350416000.0,0.73690003,0.25616,0.18374,0.9774336952126745,0.326,0.335,0.1149606317316635,0.14125984514022202,0.5925877474013954,6.664718781770281,8.69863,7.0791526,6.665,9754695680.0,1463632000.0,1037590400.0,0.023,3.65,4.485,Yahoo Finance
CVCB3,,CVC Brasil Operadora e Agência de Viagens S.A.,Consumer Cyclical,Travel Services,697870144.0,1490529024.0,294380000.0,-105822000.0,401535711.348,182590000.0,561622016.0,-0.22981001,0.08149,-0.071,1.3986850985546777,0.005,,0.022388059033192267,0.5753731654586228,2.1358257504135327,3.675895373326992,44.666668,1.7380025,3.676,1082110080.0,294380000.0,214099744.0,0.436,0.03,0.771,Yahoo Finance
CXSE3,,Caixa Seguridade Participações S.A.,Financial Services,Insurance - Diversified,53730000896.0,5995810816.0,4886031872.0,4522960896.0,13794000000.0,1255443968.0,9660000.0,0.33348998,0.82413,0.75434995,0.0007003044802087865,0.11,0.128,0.0843104350688243,0.2567280989623153,0.1115914892241583,10.741684900740657,11.860928,3.8951716,10.742,52484214784.0,4886031872.0,3074638592.0,0.083,1.51,4.598,Yahoo Finance
CYRE3,,Cyrela Brazil Realty S.A. Empreendimentos e Participações,Consumer Cyclical,Residential Construction,7814178304.0,9923011584.0,1617769984.0,2039756032.0,8929338243.77,4076000000.0,9054999552.0,0.20594,0.1583,0.20556,1.0140728578982516,0.172,-0.02,0.21800281646558706,1.1427097920618992,1.2698726850039381,9.616141623258105,4.5870967,0.87511283,9.616,15556705280.0,1617769984.0,,0.08,4.65,24.374,Yahoo Finance
CYRE4,,Cyrela Brazil Realty S.A. Empreendimentos e Participações,Consumer Cyclical,Residential Construction,9109931991.0,9923011584.0,1617769984.0,2039756032.0,10685538090.650167,4076000000.0,9054999552.0,0.20594,0.1583,0.20556,0.847406978963756,0.172,-0.02,0.22390463880686945,1.172954759838686,1.0892519937364262,9.467994975483487,,0.8525478,9.468,15317038080.0,1617769984.0,,0.08,,24.374,Yahoo Finance
DASA3,,Diagnósticos da América S.A.,Healthcare,Diagnostics & Research,2637129216.0,9324487680.0,1391650944.0,-892902976.0,6865285335.819,958700992.0,7375865856.0,-0.12092,0.10771,-0.096,1.0743713473228989,-0.098,,-0.33858901209033515,2.6033176732494243,3.5358478543358567,6.524383631647218,,0.38412523,6.524,9079664640.0,1391650944.0,172859872.0,,-0.82,5.493,Yahoo Finance
DESK3,,Desktop S.A.,Communication Services,Telecom Services,2200419840.0,1245612032.0,593044992.0,61597000.0,1421380616.784,457364992.0,1759227008.0,0.049889997,0.31927,0.049450003,1.2376888971374942,0.092,-0.508,0.0269413607811917,0.6459587785281234,0.5660792587654545,5.959755795391659,37.11765,1.5480864,5.96,3534403328.0,593044992.0,27740876.0,0.212,0.51,12.228,Yahoo Finance
DIRR3,,Direcional Engenharia S.A.,Real Estate,Real Estate - Development,5434039296.0,4827458048.0,1217927040.0,855892992.0,2327016933.3999996,2454206976.0,3179394048.0,0.41882,0.2214,0.17729999,1.3662960515524027,0.201,0.086,0.15598086719965223,0.42822967070637125,0.8883737833021368,5.394004343642785,6.4110427,2.3351955,5.394,6569503744.0,1217927040.0,-1037024640.0,0.253,1.63,4.475,Yahoo Finance
