date,horizon,source,portfolio,n,stock_return,ibov_return,gross_alpha_vs_ibov,net_alpha_vs_ibov,cdi_return,net_excess_vs_cdi
2025-04-07,5,ranker_v2,top5,5,0.052644496521233285,0.030783195846737055,0.02186130067449623,0.019861300674496228,0.0026293109559378802,0.0480151855652954
2025-04-07,5,ranker_v2,top10,10,0.041055338936248485,0.030783195846737055,0.010272143089511432,0.008272143089511432,0.0026293109559378802,0.0364260279803106
2025-04-07,5,ranker_v2,top20,20,0.039307052227252934,0.030783195846737055,0.008523856380515876,0.0065238563805158755,0.0026293109559378802,0.03467774127131505
2025-04-07,5,ranker_v2,top_decile,11,0.04158887783843778,0.030783195846737055,0.010805681991700723,0.008805681991700723,0.0026293109559378802,0.0369595668824999
2025-04-07,5,momentum_126_baseline,top10,10,0.030643962657989753,0.030783195846737055,-0.00013923318874730083,-0.0021392331887473007,0.0026293109559378802,0.026014651702051875
2025-04-14,5,ranker_v2,top5,5,0.019391312521837522,0.02133576405518567,-0.001944451533348146,-0.003944451533348146,0.0026293109559378802,0.014762001565899643
2025-04-14,5,ranker_v2,top10,10,0.04166229928517334,0.02133576405518567,0.020326535229987674,0.018326535229987673,0.0026293109559378802,0.03703298832923546
2025-04-14,5,ranker_v2,top20,20,0.030238846697246746,0.02133576405518567,0.008903082642061078,0.0069030826420610775,0.0026293109559378802,0.025609535741308864
2025-04-14,5,ranker_v2,top_decile,11,0.043019592141821945,0.02133576405518567,0.02168382808663628,0.019683828086636282,0.0026293109559378802,0.03839028118588406
2025-04-14,5,momentum_126_baseline,top10,10,0.0034040989706618507,0.02133576405518567,-0.017931665084523818,-0.01993166508452382,0.0026293109559378802,-0.0012252119852760295
2025-04-23,5,ranker_v2,top5,5,0.01999984977400804,0.02156319961275499,-0.0015633498387469524,-0.0035633498387469525,0.0026293109559378802,0.015370538818070156
2025-04-23,5,ranker_v2,top10,10,0.013913541839889954,0.02156319961275499,-0.007649657772865037,-0.009649657772865038,0.0026293109559378802,0.009284230883952074
2025-04-23,5,ranker_v2,top20,20,0.039783229054813504,0.02156319961275499,0.018220029442058517,0.01622002944205852,0.0026293109559378802,0.03515391809887562
2025-04-23,5,ranker_v2,top_decile,11,0.013189363206122002,0.02156319961275499,-0.008373836406632989,-0.010373836406632989,0.0026293109559378802,0.008560052250184122
2025-04-23,5,momentum_126_baseline,top10,10,0.018572853942915822,0.02156319961275499,-0.0029903456698391674,-0.004990345669839167,0.0026293109559378802,0.01394354298697794
